iter	Passed	Remaining
444	1186	1479
445	1188	1475
446	1190	1472
447	1192	1469
448	1195	1467
449	1198	1464
450	1200	1461
451	1202	1457
452	1204	1454
453	1207	1451
454	1210	1449
455	1212	1446
456	1214	1443
457	1216	1440
458	1219	1437
459	1221	1434
460	1224	1431
461	1227	1429
462	1229	1426
463	1232	1423
464	1234	1419
465	1236	1416
466	1238	1413
467	1240	1410
468	1243	1407
469	1245	1404
470	1248	1401
471	1250	1399
472	1253	1396
473	1256	1394
474	1258	1391
475	1260	1388
476	1263	1385
477	1265	1382
478	1269	1380
479	1271	1377
480	1273	1374
481	1276	1371
482	1278	1368
483	1280	1365
484	1283	1362
485	1285	1359
486	1287	1356
487	1289	1353
488	1291	1350
489	1294	1347
490	1296	1343
491	1299	1341
492	1301	1338
493	1303	1335
494	1305	1332
495	1307	1328
496	1309	1325
497	1311	1322
498	1314	1319
499	1316	1316
500	1318	1313
501	1320	1310
502	1322	1307
503	1325	1303
504	1327	1300
505	1329	1298
506	1331	1295
507	1334	1292
508	1336	1288
509	1337	1285
510	1340	1282
511	1342	1279
512	1345	1277
513	1347	1273
514	1349	1270
515	1351	1267
516	1353	1264
517	1354	1260
518	1357	1257
519	1359	1254
520	1361	1251
521	1363	1248
522	1364	1244
523	1367	1242
524	1369	1239
525	1373	1237
526	1376	1235
527	1378	1231
528	1379	1228
529	1382	1225
530	1384	1222
531	1386	1219
532	1390	1218
533	1392	1215
534	1394	1211
535	1396	1208
536	1398	1205
537	1399	1202
538	1402	1199
539	1404	1196
540	1406	1193
541	1409	1191
542	1412	1188
543	1413	1185
544	1415	1182
545	1421	1181
546	1423	1178
547	1425	1176
548	1427	1173
549	1430	1170
550	1433	1168
551	1437	1166
552	1440	1164
553	1443	1162
554	1446	1159
555	1448	1156
556	1450	1153
557	1455	1152
558	1458	1150
559	1464	1150
560	1466	1147
561	1468	1144
562	1470	1141
563	1472	1138
564	1474	1134
565	1476	1132
566	1479	1129
567	1481	1126
568	1483	1124
569	1486	1121
570	1488	1118
571	1490	1115
572	1493	1112
573	1495	1109
574	1497	1106
575	1499	1103
576	1501	1100
577	1503	1097
578	1506	1095
579	1508	1092
580	1510	1089
581	1513	1086
582	1515	1083
583	1517	1080
584	1520	1078
585	1522	1075
586	1524	1072
587	1526	1069
588	1528	1066
589	1530	1063
590	1532	1060
591	1535	1058
592	1538	1055
593	1540	1052
594	1542	1050
595	1544	1047
596	1547	1044
597	1549	1041
598	1552	1039
599	1554	1036
600	1556	1033
601	1558	1030
602	1560	1027
603	1565	1026
604	1568	1024
605	1571	1021
606	1573	1018
607	1576	1016
608	1578	1013
609	1581	1011
610	1584	1008
611	1586	1005
612	1588	1002
613	1591	1000
614	1593	997
615	1596	995
616	1600	993
617	1602	990
618	1605	988
619	1607	985
620	1609	982
621	1612	979
622	1614	977
623	1617	974
624	1619	971
625	1621	968
626	1624	966
627	1628	964
628	1630	961
629	1632	958
630	1635	956
631	1637	953
632	1641	951
633	1644	949
634	1647	946
635	1649	943
636	1651	940
637	1652	937
638	1655	935
639	1657	932
640	1660	929
641	1662	927
642	1664	923
643	1665	920
644	1667	917
645	1669	914
646	1672	912
647	1674	909
648	1676	906
649	1679	904
650	1681	901
651	1683	898
652	1686	895
653	1688	893
654	1690	890
655	1692	887
656	1695	884
657	1697	882
658	1699	879
659	1702	876
660	1704	874
661	1706	871
662	1708	868
663	1710	865
664	1712	862
665	1715	860
666	1718	857
667	1720	855
668	1722	852
669	1724	849
670	1725	846
671	1728	843
672	1731	841
673	1733	838
674	1735	835
675	1737	832
676	1739	829
677	1741	826
678	1743	824
679	1747	822
680	1748	819
681	1750	816
682	1752	813
683	1754	810
684	1756	807
685	1760	805
686	1762	803
687	1764	800
688	1766	797
689	1768	794
690	1770	791
691	1772	788
692	1774	786
693	1776	783
694	1778	780
695	1780	777
696	1782	774
697	1784	772
698	1786	769
699	1788	766
700	1791	764
701	1793	761
702	1795	758
703	1796	755
704	1799	752
705	1801	750
706	1803	747
707	1805	744
708	1807	741
709	1809	739
710	1811	736
711	1814	733
712	1816	731
713	1819	728
714	1821	725
715	1823	723
716	1825	720
717	1826	717
718	1829	714
719	1831	712
720	1833	709
721	1836	707
722	1837	704
723	1839	701
724	1841	698
725	1843	695
726	1845	693
727	1848	690
728	1851	688
729	1853	685
730	1856	683
731	1858	680
732	1860	677
733	1863	675
734	1866	673
735	1870	671
736	1873	668
737	1875	665
738	1877	663
739	1880	660
740	1882	658
741	1884	655
742	1886	652
743	1888	649
744	1890	647
745	1893	644
746	1900	643
747	1902	641
748	1904	638
749	1906	635
750	1909	633
751	1911	630
752	1914	627
753	1916	625
754	1918	622
755	1920	619
756	1922	617
757	1925	614
758	1928	612
759	1933	610
760	1936	608
761	1938	605
762	1940	602
763	1943	600
764	1946	597
765	1948	595
766	1950	592
767	1953	589
768	1955	587
769	1957	584
770	1959	581
771	1962	579
772	1964	576
773	1966	574
774	1968	571
775	1970	568
776	1973	566
777	1975	563
778	1977	561
779	1979	558
780	1981	555
781	1984	553
782	1987	550
783	1989	548
784	1992	545
785	1994	542
786	1996	540
787	1998	537
788	2000	535
789	2002	532
790	2004	529
791	2006	527
792	2008	524
793	2010	521
794	2013	519
795	2015	516
796	2017	513
797	2020	511
798	2022	508
799	2025	506
800	2027	503
801	2028	500
802	2030	498
803	2033	495
804	2035	493
805	2037	490
806	2039	487
807	2041	485
808	2043	482
809	2045	479
810	2047	477
811	2049	474
812	2051	471
813	2053	469
814	2055	466
815	2057	463
816	2059	461
817	2061	458
818	2063	456
819	2066	453
820	2068	451
821	2070	448
822	2072	445
823	2074	443
824	2076	440
825	2078	437
826	2081	435
827	2083	432
828	2085	430
829	2087	427
830	2089	424
831	2090	422
832	2092	419
833	2095	417
834	2097	414
835	2099	411
836	2101	409
837	2103	406
838	2105	404
839	2107	401
840	2109	398
841	2112	396
842	2114	393
843	2116	391
844	2117	388
845	2119	385
846	2121	383
847	2123	380
848	2126	378
849	2128	375
850	2129	372
851	2131	370
852	2133	367
853	2135	365
854	2138	362
855	2140	360
856	2142	357
857	2144	354
858	2146	352
859	2148	349
860	2150	347
861	2152	344
862	2154	342
863	2156	339
864	2158	336
865	2160	334
866	2162	331
867	2164	329
868	2166	326
869	2169	324
870	2171	321
871	2173	319
872	2175	316
873	2177	313
874	2179	311
875	2182	308
876	2184	306
